economy,time,SH.UHC.NOP1.CG,SH.UHC.NOP2.TO,SH.UHC.OOPC.25.ZS
GRD,YR1992,,,
GRD,YR1996,,,
GRD,YR2000,,,
GRD,YR2004,,,
GRD,YR2008,,,
GRD,YR2012,,,
GRL,YR1992,,,
GRL,YR1996,,,
GRL,YR2000,,,
GRL,YR2004,,,
GRL,YR2008,,,
GRL,YR2012,,,
GTM,YR1992,,,
GTM,YR1996,,,
GTM,YR2000,0.0010772,120000.0,2.329756
GTM,YR2004,,,
GTM,YR2008,,,
GTM,YR2012,,,
GUM,YR1992,,,
GUM,YR1996,,,
GUM,YR2000,,,
GUM,YR2004,,,
GUM,YR2008,,,
GUM,YR2012,,,
GUY,YR1992,,,
GUY,YR1996,,,
GUY,YR2000,,,
GUY,YR2004,,,
GUY,YR2008,,,
GUY,YR2012,,,
HAF,YR1992,,,
HAF,YR1996,,,
HAF,YR2000,,13892000.0,1.63390277731016
HAF,YR2004,,,
HAF,YR2008,,,
HAF,YR2012,,,
HAM,YR1992,,,
HAM,YR1996,,,
HAM,YR2000,,7851000.0,1.99425600764697
HAM,YR2004,,,
HAM,YR2008,,,
HAM,YR2012,,,
HAS,YR1992,,,
HAS,YR1996,,,
HAS,YR2000,,38014000.0,1.96136555032722
HAS,YR2004,,,
HAS,YR2008,,,
HAS,YR2012,,,
HEM,YR1992,,,
HEM,YR1996,,,
HEM,YR2000,,8274000.0,1.02299991849704
HEM,YR2004,,,
HEM,YR2008,,,
HEM,YR2012,,,
HEU,YR1992,,,
HEU,YR1996,,,
HEU,YR2000,,5003000.0,0.980652580731134
HEU,YR2004,,,
HEU,YR2008,,,
HEU,YR2012,,,
HKG,YR1992,,,
HKG,YR1996,,,
HKG,YR2000,,,
HKG,YR2004,,,
HKG,YR2008,,,
HKG,YR2012,,,
HND,YR1992,,,
HND,YR1996,,,
HND,YR2000,,,
HND,YR2004,,,
HND,YR2008,,,
HND,YR2012,,,
HRV,YR1992,,,
HRV,YR1996,,,
HRV,YR2000,,,
HRV,YR2004,0.0,0.0,0.1377096
HRV,YR2008,0.0,0.0,0.2973157
HRV,YR2012,,,
HTI,YR1992,,,
HTI,YR1996,,,
HTI,YR2000,,,
HTI,YR2004,,,
HTI,YR2008,,,
HTI,YR2012,,,
HUN,YR1992,,,
HUN,YR1996,,,
HUN,YR2000,0.0,9000.0,0.7797513
HUN,YR2004,0.0,13000.0,0.8997574
HUN,YR2008,,,
HUN,YR2012,,,
HWP,YR1992,,,
HWP,YR1996,,,
HWP,YR2000,,33817000.0,2.46324364099973
HWP,YR2004,,,
HWP,YR2008,,,
HWP,YR2012,,,
IDN,YR1992,,,
IDN,YR1996,,,
IDN,YR2000,,,
IDN,YR2004,0.005816,2861000.0,0.3303266
IDN,YR2008,,,
IDN,YR2012,0.0009847,2368000.0,0.8933261
IMN,YR1992,,,
IMN,YR1996,,,
IMN,YR2000,,,
IMN,YR2004,,,
IMN,YR2008,,,
IMN,YR2012,,,
IND,YR1992,,,
IND,YR1996,,,
IND,YR2000,,,
IND,YR2004,0.0288557,26400000.0,2.1847
IND,YR2008,,,
IND,YR2012,,,
IRL,YR1992,,,
IRL,YR1996,,,
IRL,YR2000,,,
IRL,YR2004,,,
IRL,YR2008,,,
IRL,YR2012,,,
IRN,YR1992,,,
IRN,YR1996,,,
IRN,YR2000,,,
IRN,YR2004,,,
IRN,YR2008,0.0003571,355000.0,3.475288
IRN,YR2012,3.62e-05,116000.0,3.220145
IRQ,YR1992,,,
IRQ,YR1996,,,
IRQ,YR2000,,,
IRQ,YR2004,,,
IRQ,YR2008,,,
IRQ,YR2012,,,
ISL,YR1992,,,
ISL,YR1996,,,
ISL,YR2000,,,
ISL,YR2004,,,
ISL,YR2008,,,
ISL,YR2012,,,
ISR,YR1992,,,
ISR,YR1996,,,
ISR,YR2000,,,
ISR,YR2004,,,
ISR,YR2008,,,
ISR,YR2012,0.0,0.0,0.94684
ITA,YR1992,,,
ITA,YR1996,,,
ITA,YR2000,,,
ITA,YR2004,,,
ITA,YR2008,,,
ITA,YR2012,,,
JAM,YR1992,0.0282041,57000.0,3.134796
JAM,YR1996,0.0021078,27000.0,1.151947
JAM,YR2000,,,
JAM,YR2004,0.0024462,32000.0,2.877335
JAM,YR2008,,,
JAM,YR2012,,,
JOR,YR1992,,,
JOR,YR1996,,,
JOR,YR2000,,,
JOR,YR2004,,,
JOR,YR2008,,,
JOR,YR2012,,,
JPN,YR1992,,,
JPN,YR1996,,,
JPN,YR2000,,,
JPN,YR2004,,,
JPN,YR2008,,,2.00622
JPN,YR2012,,,
KAZ,YR1992,,,
KAZ,YR1996,0.0001462,54000.0,1.246365
KAZ,YR2000,,,
