year,city,iso,country,region,olympic_type,population,GDP_constant_2010_USD,land_area_km_sq,notes,population_%,GDP_%,land_area_%
1992,Barcelona,HND,Honduras,Americas,summer,5247836,8342633065,111890,,0.0009926893362,0.0002191020364,0.001011484357
1992,Barcelona,HKG,Hong Kong,Asia,summer,5800500,116910000000,990,,0.001097232172,0.003070399821,0.000008949588999
1992,Barcelona,HUN,Hungary,Europe,summer,10369341,89012800009,89870,,0.001961481692,0.00233773745,0.0008124238014
1992,Barcelona,ISL,Iceland,Europe,summer,261057,7680561656,100250,,0.00004938197384,0.0002017140975,0.000906258886
1992,Barcelona,IND,India,Asia,summer,906021106,497311000000,2973190,,0.1713844507,0.01306084685,0.02687760456
1992,Barcelona,IOP,Independent Olympic Participants,noregion,summer,27289575,94916716393,2382410,Yugoslavia (Serbia and Montenegro); Macedonia,0.005162141136,0.002492791626,0.02153695993
1992,Barcelona,IDN,Indonesia,Asia,summer,187766086,352758000000,1811570,,0.03551814334,0.009264460697,0.01637657267
1992,Barcelona,IRN,Iran,Asia,summer,58260738,262511000000,1628760,,0.01102069755,0.006894309533,0.0147239723
1992,Barcelona,IRQ,Iraq,Asia,summer,18458187,33971162224,437370,,0.003491581178,0.0008921824516,0.00395381994
1992,Barcelona,IRL,Ireland,Europe,summer,3558430,87780874007,68890,,0.0006731185034,0.002305383456,0.0006227648345
1992,Barcelona,ISR,Israel,Asia,summer,5123000,114365000000,21640,,0.000969075152,0.00300356065,0.0001956253595
1992,Barcelona,ITA,Italy,Europe,summer,56797087,1790910000000,294110,,0.0107438309,0.04703455431,0.002658751132
1992,Barcelona,CIV,Côte d'Ivoire,Africa,summer,13163019,17727928620,318000,,0.002489938442,0.0004655874507,0.002874716466
1992,Barcelona,JAM,Jamaica,Americas,summer,2465362,11055707510,10830,,0.0004663519529,0.0002903553363,0.00009790307966
1992,Barcelona,JPN,Japan,Asia,summer,124229000,4878120000000,364600,,0.02349936308,0.1281137523,0.003295979949
1992,Barcelona,JOR,Jordan,Asia,summer,3968198,10499117722,88240,,0.000750630896,0.0002757376544,0.0007976886195
1992,Barcelona,KEN,Kenya,Africa,summer,24963953,21902119505,569140,,0.004722222633,0.0005752139579,0.005145019276
