economy,time,SE.SEC.ENRR
COD,YR2016,
COG,YR1992,46.9658203125
COG,YR1996,47.6503410339355
COG,YR2000,
COG,YR2004,44.621150970459
COG,YR2008,
COG,YR2012,52.5928192138672
COG,YR2016,
COL,YR1992,59.6587181091309
COL,YR1996,68.8436431884766
COL,YR2000,73.0866012573242
COL,YR2004,79.1073532104492
COL,YR2008,90.7851867675781
COL,YR2012,95.4042587280273
COL,YR2016,95.0146331787109
COM,YR1992,25.0500907897949
COM,YR1996,
COM,YR2000,
COM,YR2004,44.0077514648438
COM,YR2008,
COM,YR2012,
COM,YR2016,
CPV,YR1992,
CPV,YR1996,
CPV,YR2000,68.6760864257813
CPV,YR2004,68.2438125610352
CPV,YR2008,84.2762985229492
CPV,YR2012,93.0340118408203
CPV,YR2016,93.6871109008789
CRI,YR1992,46.6897811889648
CRI,YR1996,49.4825096130371
CRI,YR2000,62.0568008422852
CRI,YR2004,79.5094604492188
CRI,YR2008,91.2671279907227
CRI,YR2012,107.49169921875
CRI,YR2016,125.816162109375
CSS,YR1992,72.716667175293
CSS,YR1996,77.8346328735352
CSS,YR2000,84.6325302124023
CSS,YR2004,87.509162902832
CSS,YR2008,88.9010925292969
CSS,YR2012,87.4580078125
CSS,YR2016,86.8785400390625
CUB,YR1992,87.189811706543
CUB,YR1996,80.089958190918
CUB,YR2000,82.7508316040039
CUB,YR2004,90.9470291137695
CUB,YR2008,94.9447708129883
CUB,YR2012,90.1888198852539
CUB,YR2016,100.114547729492
CUW,YR1992,
CUW,YR1996,
CUW,YR2000,
CUW,YR2004,
CUW,YR2008,
CUW,YR2012,
CUW,YR2016,
CYM,YR1992,
CYM,YR1996,
CYM,YR2000,95.1645736694336
CYM,YR2004,81.5765609741211
CYM,YR2008,80.2509384155273
CYM,YR2012,82.1597366333008
CYM,YR2016,
CYP,YR1992,67.5007705688477
CYP,YR1996,94.2114486694336
CYP,YR2000,93.3721389770508
CYP,YR2004,97.7151184082031
CYP,YR2008,98.3290405273438
CYP,YR2012,95.2998504638672
CYP,YR2016,99.1193084716797
CZE,YR1992,86.0283279418945
CZE,YR1996,97.9569091796875
CZE,YR2000,88.3174514770508
CZE,YR2004,95.4421005249023
CZE,YR2008,94.1495819091797
CZE,YR2012,96.7918090820313
CZE,YR2016,104.634811401367
DEU,YR1992,100.852256774902
DEU,YR1996,104.506813049316
DEU,YR2000,99.9306564331055
DEU,YR2004,102.140197753906
DEU,YR2008,103.308319091797
DEU,YR2012,102.167610168457
DEU,YR2016,98.8119964599609
DJI,YR1992,10.2650699615479
DJI,YR1996,11.7808303833008
DJI,YR2000,14.0451202392578
DJI,YR2004,20.516529083252
DJI,YR2008,31.9612007141113
DJI,YR2012,43.8617286682129
DJI,YR2016,48.1130485534668
DMA,YR1992,
DMA,YR1996,
DMA,YR2000,111.513061523438
DMA,YR2004,107.70671081543
DMA,YR2008,92.6949920654297
DMA,YR2012,
DMA,YR2016,
DNK,YR1992,110.182281494141
DNK,YR1996,120.491348266602
DNK,YR2000,126.987663269043
DNK,YR2004,123.585189819336
DNK,YR2008,117.841232299805
DNK,YR2012,123.405792236328
DNK,YR2016,129.119491577148
DOM,YR1992,
DOM,YR1996,
DOM,YR2000,60.0571403503418
DOM,YR2004,69.4688873291016
DOM,YR2008,78.9523162841797
DOM,YR2012,78.0239334106445
DOM,YR2016,79.882926940918
DZA,YR1992,57.572509765625
DZA,YR1996,58.9805908203125
DZA,YR2000,65.1169815063477
DZA,YR2004,77.5079879760742
DZA,YR2008,76.7010803222656
DZA,YR2012,
DZA,YR2016,
EAP,YR1992,42.9619903564453
EAP,YR1996,54.0242881774902
EAP,YR2000,59.2349014282227
EAP,YR2004,64.21044921875
EAP,YR2008,76.7555084228516
EAP,YR2012,82.6460037231445
EAP,YR2016,81.8942718505859
EAR,YR1992,44.8844795227051
EAR,YR1996,48.2690200805664
EAR,YR2000,50.7394104003906
EAR,YR2004,56.1683387756348
EAR,YR2008,61.7742118835449
EAR,YR2012,68.6399993896484
EAR,YR2016,74.4257583618164
EAS,YR1992,47.8627586364746
EAS,YR1996,58.3615303039551
EAS,YR2000,62.4375915527344
EAS,YR2004,66.7159118652344
EAS,YR2008,78.7140808105469
EAS,YR2012,84.5204010009766
EAS,YR2016,83.8393325805664
ECA,YR1992,86.5857772827148
ECA,YR1996,84.6885223388672
ECA,YR2000,87.6826324462891
ECA,YR2004,88.702880859375
ECA,YR2008,88.3649673461914
ECA,YR2012,92.0366821289063
ECA,YR2016,98.6401596069336
ECS,YR1992,90.9131622314453
ECS,YR1996,93.8630676269531
ECS,YR2000,94.5668182373047
ECS,YR2004,95.5736083984375
ECS,YR2008,96.1670379638672
ECS,YR2012,98.2215805053711
ECS,YR2016,104.86727142334
ECU,YR1992,57.8106002807617
ECU,YR1996,54.0386810302734
ECU,YR2000,57.709228515625
ECU,YR2004,59.3685913085938
ECU,YR2008,
ECU,YR2012,99.5431518554688
ECU,YR2016,103.750129699707
EGY,YR1992,69.1059112548828
EGY,YR1996,70.2156219482422
EGY,YR2000,81.9857788085938
EGY,YR2004,81.8559265136719
EGY,YR2008,
EGY,YR2012,78.6885070800781
EGY,YR2016,85.1464462280273
EMU,YR1992,97.7699203491211
EMU,YR1996,105.958366394043
EMU,YR2000,102.554138183594
EMU,YR2004,104.282028198242
EMU,YR2008,106.881378173828
EMU,YR2012,108.118339538574
EMU,YR2016,108.194557189941
ERI,YR1992,
ERI,YR1996,24.0659599304199
ERI,YR2000,34.5546798706055
ERI,YR2004,36.674919128418
ERI,YR2008,44.910228729248
ERI,YR2012,59.3343200683594
ERI,YR2016,
ESP,YR1992,105.258850097656
ESP,YR1996,117.573219299316
ESP,YR2000,110.265998840332
ESP,YR2004,113.830436706543
ESP,YR2008,115.526290893555
ESP,YR2012,122.837532043457
ESP,YR2016,126.190460205078
EST,YR1992,101.795021057129
EST,YR1996,92.8376007080078
EST,YR2000,93.8278121948242
EST,YR2004,100.086898803711
EST,YR2008,102.267929077148
EST,YR2012,107.811569213867
EST,YR2016,115.014122009277
ETH,YR1992,12.1751203536987
ETH,YR1996,10.8604001998901
ETH,YR2000,13.5388698577881
ETH,YR2004,22.1996402740479
ETH,YR2008,33.4073905944824
ETH,YR2012,37.5771408081055
ETH,YR2016,
EUU,YR1992,94.3281936645508
EUU,YR1996,101.873107910156
EUU,YR2000,100.863182067871
EUU,YR2004,101.750839233398
EUU,YR2008,103.422729492188
EUU,YR2012,103.87230682373
EUU,YR2016,110.146492004395
FCS,YR1992,26.747730255127
FCS,YR1996,27.1913509368896
FCS,YR2000,29.2894802093506
FCS,YR2004,35.7418785095215
FCS,YR2008,39.8992309570313
FCS,YR2012,45.3601112365723
FCS,YR2016,44.9491996765137
FIN,YR1992,119.499992370605
FIN,YR1996,115.737129211426
FIN,YR2000,124.57893371582
FIN,YR2004,110.733131408691
FIN,YR2008,108.606781005859
FIN,YR2012,108.24275970459
