economy,time,CC.EST,GE.EST,PV.EST,RQ.EST,VA.EST
AUT,YR2000,1.7510586977005,1.84726524353027,0.822056412696838,1.47547554969788,1.31755948066711
AUT,YR2004,2.02662444114685,1.84331977367401,1.08964920043945,1.51410281658173,1.47565114498138
AUT,YR2008,1.8287581205368,1.77105259895325,1.33927059173584,1.60645174980164,1.35846436023712
AUT,YR2012,1.42725443840027,1.5598771572113,1.34056687355042,1.51716470718384,1.44877302646637
AUT,YR2016,1.53453481197357,1.50463581085205,0.90963876247406,1.43717646598816,1.33747661113739
AZE,YR1996,-1.44561946392059,-0.916389584541321,-0.828929543495178,-1.19630861282349,-1.12103068828583
AZE,YR2000,-1.29238271713257,-0.951395213603973,-0.829794764518738,-0.859866619110107,-0.906228959560394
AZE,YR2004,-1.1808317899704,-0.930401146411896,-1.05981111526489,-0.621019124984741,-1.05670249462128
AZE,YR2008,-1.15665423870087,-0.784415364265442,-0.330349981784821,-0.367752313613892,-1.32513201236725
AZE,YR2012,-1.14269411563873,-0.787990510463715,-0.715751826763153,-0.488716810941696,-1.29948163032532
AZE,YR2016,-0.831865549087524,-0.116176269948483,-0.803879082202911,-0.386264741420746,-1.56097424030304
BDI,YR1996,-0.68063485622406,-1.6624231338501,-2.11674880981445,-1.64146494865417,-1.54957222938538
BDI,YR2000,-0.824704229831696,-1.41228187084198,-2.01407074928284,-1.13642501831055,-1.48983597755432
BDI,YR2004,-0.978404879570007,-1.23602700233459,-2.52275967597961,-1.19196140766144,-1.28100097179413
BDI,YR2008,-1.08823239803314,-1.13972544670105,-1.63649833202362,-1.2402960062027,-0.685290634632111
BDI,YR2012,-1.46860635280609,-1.31334269046783,-1.7047381401062,-0.952941536903381,-0.894518375396729
BDI,YR2016,-1.26034903526306,-1.45598387718201,-1.97072076797485,-0.844684064388275,-1.5554780960083
BEL,YR1996,1.35965430736542,1.71154367923737,1.28849947452545,1.21423172950745,1.43329954147339
BEL,YR2000,1.44685900211334,1.65919423103333,1.12981116771698,1.15296983718872,1.36650443077087
BEL,YR2004,1.36038255691528,1.85385739803314,0.709136724472046,1.34641647338867,1.44026613235474
BEL,YR2008,1.36263751983643,1.38065946102142,0.620571196079254,1.40567028522491,1.32498848438263
BEL,YR2012,1.55911040306091,1.67085814476013,0.923599720001221,1.22217035293579,1.34942185878754
BEL,YR2016,1.56926798820496,1.42739248275757,0.441367298364639,1.33736717700958,1.37702023983002
BEN,YR1996,-0.548114895820618,-0.380564451217651,1.05037176609039,-0.176318302750587,0.259205192327499
BEN,YR2000,-0.700917899608612,-0.396729677915573,0.799652576446533,-0.160908803343773,0.41292342543602
BEN,YR2004,-0.563022553920746,-0.528148710727692,0.265973478555679,-0.619886994361877,0.0530563071370125
BEN,YR2008,-0.514077365398407,-0.498357534408569,0.376421362161636,-0.554605662822723,0.344647467136383
BEN,YR2012,-0.857918381690979,-0.53087717294693,0.364367604255676,-0.40126171708107,0.124485470354557
