year,c1,c2,c3,c4,iso_country,c5,c6,c7,c8,c9,c10,c11
1992,Barcelona,Canoe Sprint,Outdoors Sports,POL,POL,Poland,Europe,Men,Double,K-2 1000M (Kayak Double),Bronze,summer
1992,Barcelona,Canoe Sprint,Outdoors Sports,ITA,ITA,Italy,Europe,Men,Double,K-2 500M (Kayak Double),Bronze,summer
1992,Barcelona,Canoe Sprint,Outdoors Sports,HUN,HUN,Hungary,Europe,Women,Double,K-2 500M (Kayak Double),Bronze,summer
1992,Barcelona,Canoe Sprint,Outdoors Sports,AUS,AUS,Australia,Oceania,Men,Team,K-4 1000M (Kayak Four),Bronze,summer
1992,Barcelona,Canoe Sprint,Outdoors Sports,SWE,SWE,Sweden,Europe,Women,Team,K-4 500M (Kayak Four),Bronze,summer
1992,Barcelona,Canoe Slalom,Outdoors Sports,FRA,FRA,France,Europe,Men,Single,C-1 (Canoe Single),Bronze,summer
1992,Barcelona,Canoe Slalom,Outdoors Sports,FRA,FRA,France,Europe,Men,Double,C-2 (Canoe Double),Bronze,summer
1992,Barcelona,Canoe Slalom,Outdoors Sports,GER,DEU,Germany,Europe,Men,Single,K-1 (Kayak Single),Bronze,summer
1992,Barcelona,Canoe Slalom,Outdoors Sports,USA,USA,USA,Americas,Women,Single,K-1 (Kayak Single),Bronze,summer
1992,Barcelona,Cycling Road,Outdoors Sports,LAT,LVA,Latvia,Europe,Men,Single,Individual Road Race,Bronze,summer
1992,Barcelona,Cycling Road,Outdoors Sports,NED,NLD,Netherlands,Europe,Women,Single,Individual Road Race,Bronze,summer
1992,Barcelona,Cycling Road,Outdoors Sports,FRA,FRA,France,Europe,Men,Team,Team Time Trial,Bronze,summer
1992,Barcelona,Cycling Track,Outdoors Sports,USA,USA,USA,Americas,Men,Single,1KM Time Trial,Bronze,summer
1992,Barcelona,Cycling Track,Outdoors Sports,NZL,NZL,New Zealand,Oceania,Men,Single,Individual Pursuit,Bronze,summer
1992,Barcelona,Cycling Track,Outdoors Sports,USA,USA,USA,Americas,Women,Single,Individual Pursuit,Bronze,summer
1992,Barcelona,Cycling Track,Outdoors Sports,BEL,BEL,Belgium,Europe,Men,Single,Points Race,Bronze,summer
1992,Barcelona,Cycling Track,Outdoors Sports,NED,NLD,Netherlands,Europe,Women,Single,Sprint,Bronze,summer
1992,Barcelona,Cycling Track,Outdoors Sports,CAN,CAN,Canada,Americas,Men,Single,Sprint,Bronze,summer
1992,Barcelona,Cycling Track,Outdoors Sports,DEN,DNK,Denmark,Europe,Men,Team,Team Pursuit,Bronze,summer
1992,Barcelona,Dressage,Individual Sports,GER,DEU,Germany,Europe,Mixed,Single,Individual,Bronze,summer
1992,Barcelona,Dressage,Individual Sports,USA,USA,USA,Americas,Mixed,Team,Team,Bronze,summer
1992,Barcelona,Eventing,Individual Sports,NZL,NZL,New Zealand,Oceania,Mixed,Single,Individual,Bronze,summer
1992,Barcelona,Eventing,Individual Sports,GER,DEU,Germany,Europe,Mixed,Team,Team,Bronze,summer
1992,Barcelona,Jumping,Individual Sports,USA,USA,USA,Americas,Mixed,Single,Individual,Bronze,summer
1992,Barcelona,Jumping,Individual Sports,FRA,FRA,France,Europe,Mixed,Team,Team,Bronze,summer
1992,Barcelona,Fencing,Shooting and Swords,FRA,FRA,France,Europe,Men,Single,Epee Individual,Bronze,summer
1992,Barcelona,Fencing,Shooting and Swords,EUN,EUN,Unified Team,noregion,Men,Team,Epee Team,Bronze,summer
1992,Barcelona,Fencing,Shooting and Swords,CUB,CUB,Cuba,Americas,Men,Single,Foil Individual,Bronze,summer
1992,Barcelona,Fencing,Shooting and Swords,EUN,EUN,Unified Team,noregion,Women,Single,Foil Individual,Bronze,summer
1992,Barcelona,Fencing,Shooting and Swords,POL,POL,Poland,Europe,Men,Team,Foil Team,Bronze,summer
1992,Barcelona,Fencing,Shooting and Swords,ROU,ROU,Romania,Europe,Women,Team,Foil Team,Bronze,summer
1992,Barcelona,Fencing,Shooting and Swords,FRA,FRA,France,Europe,Men,Single,Sabre Individual,Bronze,summer
1992,Barcelona,Fencing,Shooting and Swords,FRA,FRA,France,Europe,Men,Team,Sabre Team,Bronze,summer
1992,Barcelona,Football,Team Sports,GHA,GHA,Ghana,Africa,Men,Team,Football,Bronze,summer
1992,Barcelona,Artistic Gymnastics,Gymnastics,ROU,ROU,Romania,Europe,Women,Single,Floor Exercises,Bronze,summer
1992,Barcelona,Artistic Gymnastics,Gymnastics,EUN,EUN,Unified Team,noregion,Women,Single,Floor Exercises,Bronze,summer
1992,Barcelona,Artistic Gymnastics,Gymnastics,USA,USA,USA,Americas,Women,Single,Floor Exercises,Bronze,summer
1992,Barcelona,Artistic Gymnastics,Gymnastics,EUN,EUN,Unified Team,noregion,Men,Single,Individual All-Around,Bronze,summer
1992,Barcelona,Artistic Gymnastics,Gymnastics,ROU,ROU,Romania,Europe,Women,Single,Individual All-Around,Bronze,summer
1992,Barcelona,Artistic Gymnastics,Gymnastics,CHN,CHN,China,Asia,Men,Single,Parallel Bars,Bronze,summer
1992,Barcelona,Artistic Gymnastics,Gymnastics,EUN,EUN,Unified Team,noregion,Men,Single,Parallel Bars,Bronze,summer
1992,Barcelona,Artistic Gymnastics,Gymnastics,JPN,JPN,Japan,Asia,Men,Single,Parallel Bars,Bronze,summer
1992,Barcelona,Artistic Gymnastics,Gymnastics,GER,DEU,Germany,Europe,Men,Single,Pommel Horse,Bronze,summer
1992,Barcelona,Artistic Gymnastics,Gymnastics,CHN,CHN,China,Asia,Men,Single,Rings,Bronze,summer
1992,Barcelona,Artistic Gymnastics,Gymnastics,GER,DEU,Germany,Europe,Men,Single,Rings,Bronze,summer
1992,Barcelona,Artistic Gymnastics,Gymnastics,JPN,JPN,Japan,Asia,Men,Team,Team Competition,Bronze,summer
1992,Barcelona,Artistic Gymnastics,Gymnastics,USA,USA,USA,Americas,Women,Team,Team Competition,Bronze,summer
1992,Barcelona,Artistic Gymnastics,Gymnastics,USA,USA,USA,Americas,Women,Single,Uneven Bars,Bronze,summer
1992,Barcelona,Artistic Gymnastics,Gymnastics,KOR,KOR,South Korea,Asia,Men,Single,Vault,Bronze,summer
1992,Barcelona,Artistic Gymnastics,Gymnastics,EUN,EUN,Unified Team,noregion,Women,Single,Vault,Bronze,summer
1992,Barcelona,Rhythmic Gymnastics,Gymnastics,EUN,EUN,Unified Team,noregion,Women,Single,Individual All-Around,Bronze,summer
1992,Barcelona,Handball,Team Sports,FRA,FRA,France,Europe,Men,Team,Handball,Bronze,summer
1992,Barcelona,Handball,Team Sports,EUN,EUN,Unified Team,noregion,Women,Team,Handball,Bronze,summer
1992,Barcelona,Field Hockey,Team Sports,PAK,PAK,Pakistan,Asia,Men,Team,Field Hockey,Bronze,summer
1992,Barcelona,Field Hockey,Team Sports,GBR,GBR,UK,Europe,Women,Team,Field Hockey,Bronze,summer
1992,Barcelona,Judo,Martial Arts,CUB,CUB,Cuba,Americas,Women,Single,- 48KG (Extra-Lightweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,TUR,TUR,Turkey,Asia,Women,Single,- 48KG (Extra-Lightweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,JPN,JPN,Japan,Asia,Men,Single,- 60 KG,Bronze,summer
1992,Barcelona,Judo,Martial Arts,GER,DEU,Germany,Europe,Men,Single,- 60 KG,Bronze,summer
1992,Barcelona,Judo,Martial Arts,FRA,FRA,France,Europe,Women,Single,72+ KG (Heavyweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,JPN,JPN,Japan,Asia,Women,Single,72+ KG (Heavyweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,HUN,HUN,Hungary,Europe,Men,Single,95+ KG (Heavyweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,FRA,FRA,France,Europe,Men,Single,95+ KG (Heavyweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,CHN,CHN,China,Asia,Women,Single,48 - 52KG (Half-Lightweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,GBR,GBR,UK,Europe,Women,Single,48 - 52KG (Half-Lightweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,CUB,CUB,Cuba,Americas,Women,Single,52 - 56KG (Lightweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,JPN,JPN,Japan,Asia,Women,Single,52 - 56KG (Lightweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,EUN,EUN,Unified Team,noregion,Women,Single,56 - 61KG (Half-Middleweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,CHN,CHN,China,Asia,Women,Single,56 - 61KG (Half-Middleweight),Bronze,summer
1992,Barcelona,Judo,Martial Arts,CUB,CUB,Cuba,Americas,Men,Single,60 - 65KG (Half-Lightweight),Bronze,summer
