economy,time,1.1_ACCESS.ELECTRICITY.TOT,1.2_ACCESS.ELECTRICITY.RURAL
ECU,YR2008,97.206576,92.140953
ECU,YR2012,97.194929,92.33289
ECU,YR2016,99.9368133544922,99.8245984776873
EGY,YR1992,93.4,87.9
EGY,YR1996,96.0658493041992,93.7713890267509
EGY,YR2000,97.7,95.9
EGY,YR2004,98.1013488769531,98.904388428
EGY,YR2008,99.8,99.3
EGY,YR2012,99.7,99.84715271
EGY,YR2016,100.0,100.0
ERI,YR1992,20.1817874908447,8.50736672645569
ERI,YR1996,24.8012676239014,13.7035412280665
ERI,YR2000,29.1775379180908,18.5888178810021
ERI,YR2004,33.3003044128418,23.1688897509744
ERI,YR2008,37.5150337219238,27.8592024450836
ERI,YR2012,42.0254058837891,33.1484362811866
ERI,YR2016,46.6804618835449,39.274702930261
ESH,YR1992,,
ESH,YR1996,,
ESH,YR2000,,
ESH,YR2004,,
ESH,YR2008,,
ESH,YR2012,,
ESH,YR2016,,
ESP,YR1992,100.0,100.0
ESP,YR1996,100.0,100.0
ESP,YR2000,100.0,100.0
ESP,YR2004,100.0,100.0
ESP,YR2008,100.0,100.0
ESP,YR2012,100.0,100.0
ESP,YR2016,100.0,100.0
EST,YR1992,100.0,100.0
EST,YR1996,100.0,100.0
EST,YR2000,100.0,100.0
EST,YR2004,100.0,100.0
EST,YR2008,100.0,100.0
EST,YR2012,100.0,100.0
EST,YR2016,100.0,100.0
ETH,YR1992,0.0273247733712196,
ETH,YR1996,2.78076887130737,
ETH,YR2000,12.7,0.4
ETH,YR2004,15.4590759277344,3.32851464131796
ETH,YR2008,21.7634429931641,9.49081963933773
ETH,YR2012,28.3634471893311,15.5164428700546
ETH,YR2016,42.9,26.5
FIN,YR1992,100.0,100.0
FIN,YR1996,100.0,100.0
FIN,YR2000,100.0,100.0
FIN,YR2004,100.0,100.0
FIN,YR2008,100.0,100.0
FIN,YR2012,100.0,100.0
FIN,YR2016,100.0,100.0
FJI,YR1992,63.5214538574219,45.2214388573488
FJI,YR1996,66.9,47.3893548942131
FJI,YR2000,75.3925094604492,60.686152946066
FJI,YR2004,80.9529266357422,69.0059898352088
FJI,YR2008,86.16,76.06
FJI,YR2012,92.553337097168,87.5613966500393
FJI,YR2016,98.6460494995117,98.0183531811611
FLK,YR1992,,
FLK,YR1996,,
FLK,YR2000,,
FLK,YR2004,,
FLK,YR2008,,
FLK,YR2012,,
FLK,YR2016,,
FRA,YR1992,100.0,100.0
FRA,YR1996,100.0,100.0
FRA,YR2000,100.0,100.0
FRA,YR2004,100.0,100.0
FRA,YR2008,100.0,100.0
FRA,YR2012,100.0,100.0
FRA,YR2016,100.0,100.0
FRO,YR1992,100.0,100.0
FRO,YR1996,100.0,100.0
FRO,YR2000,100.0,100.0
FRO,YR2004,100.0,100.0
FRO,YR2008,100.0,100.0
FRO,YR2012,100.0,100.0
FRO,YR2016,100.0,100.0
FSM,YR1992,31.8054122924805,21.9033229436207
FSM,YR1996,39.2800712585449,30.724015351455
FSM,YR2000,46.0,10.0
FSM,YR2004,53.4894714355469,47.0420283093808
FSM,YR2008,60.559383392334,54.6639934133172
FSM,YR2012,67.924934387207,62.6058673004648
FSM,YR2016,75.435173034668,70.6666888740954
GAB,YR1992,66.7955017089844,11.1868479132993
GAB,YR1996,71.0985336303711,9.75765414815445
GAB,YR2000,73.6,29.7
GAB,YR2004,78.9646835327148,13.9442511078023
GAB,YR2008,82.8629608154297,22.0017320776442
GAB,YR2012,89.3,44.9
GAB,YR2016,91.3955001831055,54.9649505185154
GBR,YR1992,100.0,100.0
GBR,YR1996,100.0,100.0
GBR,YR2000,100.0,100.0
GBR,YR2004,100.0,100.0
GBR,YR2008,100.0,100.0
GBR,YR2012,100.0,100.0
GBR,YR2016,100.0,100.0
GCA,YR1992,,
GCA,YR1996,,
GCA,YR2000,,
GCA,YR2004,,
GCA,YR2008,,
GCA,YR2012,,
GCA,YR2016,,
GCN,YR1992,,
GCN,YR1996,,
GCN,YR2000,,
GCN,YR2004,,
GCN,YR2008,,
GCN,YR2012,,
GCN,YR2016,,
GEA,YR1992,,
GEA,YR1996,,
GEA,YR2000,,
GEA,YR2004,,
GEA,YR2008,,
GEA,YR2012,,
GEA,YR2016,,
GEE,YR1992,,
GEE,YR1996,,
GEE,YR2000,,
GEE,YR2004,,
GEE,YR2008,,
GEE,YR2012,,
GEE,YR2016,,
GEJ,YR1992,,
GEJ,YR1996,,
GEJ,YR2000,,
GEJ,YR2004,,
GEJ,YR2008,,
GEJ,YR2012,,
GEJ,YR2016,,
GEO,YR1992,97.6999664306641,96.7787630954124
GEO,YR1996,98.3582000732422,97.8713550844485
GEO,YR2000,98.7826919555664,98.5264562744385
GEO,YR2004,98.9735412597656,98.7399279292058
GEO,YR2008,99.2495574951172,99.0300074468612
GEO,YR2012,100.0,100.0
GEO,YR2016,100.0,100.0
GEU,YR1992,,
GEU,YR1996,,
GEU,YR2000,,
GEU,YR2004,,
GEU,YR2008,,
GEU,YR2012,,
GEU,YR2016,,
GHA,YR1992,27.8376350402832,
GHA,YR1996,36.3781776428223,8.30695682022611
GHA,YR2000,44.6755104064941,17.4920819596099
GHA,YR2004,52.7193374633789,27.3742208504378
GHA,YR2008,60.5,38.2
GHA,YR2012,69.2865600585938,50.2576338574684
GHA,YR2016,79.3,66.6
GIB,YR1992,100.0,
GIB,YR1996,100.0,
GIB,YR2000,100.0,
GIB,YR2004,100.0,
GIB,YR2008,100.0,
GIB,YR2012,100.0,
GIB,YR2016,100.0,
GIN,YR1992,8.5188455581665,
GIN,YR1996,12.6361989974976,
GIN,YR2000,16.5103454589844,
GIN,YR2004,20.1309833526611,
GIN,YR2008,23.8435878753662,0.984152423639168
GIN,YR2012,26.2,2.9
GIN,YR2016,33.5,6.9
GLC,YR1992,,
GLC,YR1996,,
GLC,YR2000,,
GLC,YR2004,,
GLC,YR2008,,
GLC,YR2012,,
GLC,YR2016,,
GLP,YR1992,,
GLP,YR1996,,
GLP,YR2000,,
GLP,YR2004,,
GLP,YR2008,,
GLP,YR2012,,
GLP,YR2016,,
GMB,YR1992,18.779748916626,3.31692724641493
GMB,YR1996,23.8123397827148,6.14329216907686
GMB,YR2000,34.3,18.19
GMB,YR2004,33.1375961303711,9.93235284441924
GMB,YR2008,37.765438079834,11.3791206321526
GMB,YR2012,42.6889152526856,13.274014670046
GMB,YR2016,47.7570877075195,15.5292451736138
GNA,YR1992,,
GNA,YR1996,,
GNA,YR2000,,
GNA,YR2004,,
GNA,YR2008,,
GNA,YR2012,,
GNA,YR2016,,
GNB,YR1992,0.541686713695526,
GNB,YR1996,3.09707117080689,
GNB,YR2000,5.40924739837646,
GNB,YR2004,7.46791648864746,
GNB,YR2008,9.61855220794678,
GNB,YR2012,12.0648260116577,
GNB,YR2016,14.6557903289795,
GNQ,YR1992,59.4290771484375,36.2453917051014
GNQ,YR1996,61.0421485900879,37.6617231883113
GNQ,YR2000,62.4120063781738,40.8811893928342
GNQ,YR2004,63.5283622741699,43.6944340502157
GNQ,YR2008,64.7366790771484,46.4490617553931
GNQ,YR2012,66.2406387329102,49.4568195026761
GNQ,YR2016,67.889289855957,52.5734810186781
GOC,YR1992,,
GOC,YR1996,,
GOC,YR2000,,
GOC,YR2004,,
GOC,YR2008,,
GOC,YR2012,,
GOC,YR2016,,
GRC,YR1992,100.0,100.0
GRC,YR1996,100.0,100.0
GRC,YR2000,100.0,100.0
GRC,YR2004,100.0,100.0
GRC,YR2008,100.0,100.0
GRC,YR2012,100.0,100.0
GRC,YR2016,100.0,100.0
GRD,YR1992,82.5127487182617,82.5127487182617
GRD,YR1996,84.3543853759766,84.3543853759766
GRD,YR2000,85.9528198242188,85.9528198242188
GRD,YR2004,87.297737121582,87.297737121582
GRD,YR2008,90.0,90.0
GRD,YR2012,90.467155456543,90.467155456543
GRD,YR2016,92.344367980957,92.344367980957
GRL,YR1992,100.0,100.0
GRL,YR1996,100.0,100.0
GRL,YR2000,100.0,100.0
GRL,YR2004,100.0,100.0
GRL,YR2008,100.0,100.0
GRL,YR2012,100.0,100.0
GRL,YR2016,100.0,100.0
GSA,YR1992,,
GSA,YR1996,,
GSA,YR2000,,
GSA,YR2004,,
GSA,YR2008,,
GSA,YR2012,,
GSA,YR2016,,
GSE,YR1992,,
GSE,YR1996,,
GSE,YR2000,,
GSE,YR2004,,
GSE,YR2008,,
GSE,YR2012,,
GSE,YR2016,,
GSS,YR1992,,
GSS,YR1996,,
GSS,YR2000,,
GSS,YR2004,,
GSS,YR2008,,
GSS,YR2012,,
GSS,YR2016,,
GTM,YR1992,62.7416229248047,42.0904191267992
GTM,YR1996,67.7842559814453,48.9317983200646
GTM,YR2000,73.318205,56.376971
GTM,YR2004,77.1296005249023,62.4756894701763
GTM,YR2008,81.7674865722656,69.6565795361173
GTM,YR2012,86.7010116577148,77.6556895962385
GTM,YR2016,91.7792282104492,86.363775519219
GUF,YR1992,,
GUF,YR1996,,
GUF,YR2000,,
GUF,YR2004,,
GUF,YR2008,,
GUF,YR2012,,
GUF,YR2016,,
GUM,YR1992,,
GUM,YR1996,100.0,100.0
GUM,YR2000,100.0,100.0
GUM,YR2004,100.0,100.0
GUM,YR2008,100.0,100.0
GUM,YR2012,100.0,100.0
GUM,YR2016,100.0,100.0
GUY,YR1992,69.5662689208984,62.8244488282205
GUY,YR1996,72.2154083251953,66.3741318808532
GUY,YR2000,74.6213455200195,69.5870271679767
GUY,YR2004,76.7737655639648,72.4444961094904
GUY,YR2008,79.0181579589844,75.3368717573486
GUY,YR2012,81.5581893920899,78.5258101208326
GUY,YR2016,84.2429046630859,81.8613599498453
GWA,YR1992,,
GWA,YR1996,,
GWA,YR2000,,
GWA,YR2004,,
GWA,YR2008,,
GWA,YR2012,,
GWA,YR2016,,
GWL,YR1992,,
GWL,YR1996,,
GWL,YR2000,,
GWL,YR2004,,
GWL,YR2008,,
GWL,YR2012,,
GWL,YR2016,,
HIC,YR1992,,
HIC,YR1996,,
HIC,YR2000,,
HIC,YR2004,,
HIC,YR2008,,
HIC,YR2012,,
HIC,YR2016,,
HKG,YR1992,100.0,100.0
HKG,YR1996,100.0,
HKG,YR2000,100.0,
HKG,YR2004,100.0,
HKG,YR2008,100.0,
HKG,YR2012,100.0,
HKG,YR2016,100.0,
HND,YR1992,58.913112,32.042222
HND,YR1996,61.68112,34.068518
HND,YR2000,67.6167221069336,45.2479469089427
HND,YR2004,67.113528,40.095758
HND,YR2008,76.396899,55.266458
HND,YR2012,83.607727,69.21689
HND,YR2016,87.5766296386719,72.1978981788138
HRV,YR1992,100.0,100.0
HRV,YR1996,100.0,100.0
HRV,YR2000,100.0,100.0
HRV,YR2004,100.0,100.0
HRV,YR2008,100.0,100.0
HRV,YR2012,100.0,100.0
HRV,YR2016,100.0,100.0
HTI,YR1992,28.9460277557373,9.82799248241159
HTI,YR1996,30.7730846405029,10.8773006007408
HTI,YR2000,33.7,5.2
